OID_,Link_ID,Link_Nm,Shp_Lng,Z_Min,Z_Max,Z_Mean,SLength,Shape_Length
311,RAIL664,Achanalt - Achnasheen,10411.629276499999833,0.000000000000000,0.000000000000000,0.000000000000000,0.163462849647088,0.163462849647088
312,RAIL665,Achnasheen - Achnashellach,20203.955507400001807,0.000000000000000,255.331313381299765,81.009365606548954,2870.983811030099787,0.288778928610278
313,RAIL666,Achnashellach - Strathcarron,8830.749144069999602,0.000000000000000,0.000000000000000,0.000000000000000,0.113261602732103,0.113261602732103
314,RAIL667,Strathcarron - Attadale,3687.281511940000200,0.000000000000000,43.287882693164406,17.859279893614289,159.184289935381514,0.042054287335676
315,RAIL668,Attadale - Stromeferry,8075.981341419999808,0.000000000000000,20.101457187913184,9.351158412317464,74.550605699729644,0.110245829811444
316,RAIL669,Stromeferry - Duncraig,6231.978869560000021,0.000000000000000,101.000000000000000,50.477085536585847,202.091865628231631,0.092981592232324
317,RAIL67,Hyndland - Partick,1199.564066550000007,0.000000000000000,0.000000000000000,0.000000000000000,0.012134113773748,0.012134113773748
318,RAIL670,Duncraig - Plockton,1859.155113719999918,0.000000000000000,0.000000000000000,0.000000000000000,0.029277901950992,0.029519232069441
319,RAIL671,Plockton - Duirinish,2303.865248909999991,0.000000000000000,0.000000000000000,0.000000000000000,0.030690371077901,0.030690371077901
320,RAIL672,Duirinish - Kyle of Lochalsh,6479.249376689999735,0.000000000000000,71.431397969645332,35.270996546459507,174.921750224166487,0.082762723224624
321,RAIL68,Partick - Exhibition Centre (Glasgow),1922.593510239999887,0.000000000000000,0.000000000000000,0.000000000000000,0.027039719148512,0.027313825104003
322,RAIL698,Airdrie - Coatdyke,1413.454336770000054,0.000000000000000,0.000000000000000,0.000000000000000,0.022214030397370,0.022214030397370
323,RAIL699,Coatdyke - Coatbridge Sunnyside,1569.603738849999900,0.000000000000000,0.000000000000000,0.000000000000000,0.023882143260235,0.023882143260235
324,RAIL700,Coatbridge Sunnyside - Blairhill,1003.434449679999943,0.000000000000000,0.000000000000000,0.000000000000000,0.015355462833072,0.015355462833072
325,RAIL701,Blairhill - Easterhouse,4197.582514370000354,0.000000000000000,0.000000000000000,0.000000000000000,0.064939782556867,0.064939782556867
326,RAIL702,Easterhouse - Garrowhill,1531.809295719999909,0.000000000000000,0.000000000000000,0.000000000000000,0.023012990308831,0.023012990308831
327,RAIL703,Garrowhill - Shettleston,1972.333671130000084,0.000000000000000,0.000000000000000,0.000000000000000,0.030900971094905,0.030900971094905
328,RAIL704,Shettleston - Carntyne,1173.889667850000023,0.000000000000000,0.000000000000000,0.000000000000000,0.018602578679962,0.018602578679962
329,RAIL705,Carntyne - Bellgrove,2901.463657710000007,0.000000000000000,0.000000000000000,0.000000000000000,0.045981164435719,0.045981164435719
330,RAIL706,Westerton - Drumchapel,1821.157323619999943,0.000000000000000,0.000000000000000,0.000000000000000,0.028337591751346,0.028337591751346
331,RAIL707,Drumchapel - Drumry,1437.207445300000018,0.000000000000000,0.000000000000000,0.000000000000000,0.022705604016343,0.022705604016343
332,RAIL708,Drumry - Singer,1357.977014430000054,0.000000000000000,0.000000000000000,0.000000000000000,0.020651920467520,0.020651920467520
333,RAIL709,Singer - Dalmuir,1414.974111239999957,0.000000000000000,0.000000000000000,0.000000000000000,0.021623728683254,0.021623728683254
334,RAIL711,Dalreoch - Cardross,5159.136009689999810,0.000000000000000,0.000000000000000,0.000000000000000,0.077806051161378,0.077806051161378
335,RAIL712,Cardross - Craigendoran,5688.939571519999845,0.000000000000000,0.000000000000000,0.000000000000000,0.071462263870694,0.071462263870694
336,RAIL713,Craigendoran - Helensburgh Central,2636.954348149999987,0.000000000000000,0.000000000000000,0.000000000000000,0.036738786946414,0.036738786946414
337,RAIL714,Bathgate - Armadale (W Lothian),4672.577970739999728,0.000000000000000,0.000000000000000,0.000000000000000,0.067712208141444,0.067712208141444
338,RAIL715,Armadale (W Lothian) - Blackridge,12623.669508799999676,0.000000000000000,0.000000000000000,0.000000000000000,0.186816178705952,0.186816178705951
339,RAIL716,Blackridge - Caldercruix,8911.816383999999744,0.000000000000000,0.000000000000000,0.000000000000000,0.138742079054173,0.138742079054173
340,RAIL717,Caldercruix - Drumgelloch,4755.527812389999781,0.000000000000000,0.000000000000000,0.000000000000000,0.066503202963644,0.066503202963645
341,RAIL718,Drumgelloch - Airdrie,2579.256899630000134,0.000000000000000,0.000000000000000,0.000000000000000,0.040383183001439,0.040383183001439
342,RAIL72,Rutherglen - Cambuslang,2827.208507400000144,0.000000000000000,0.000000000000000,0.000000000000000,0.041254594389164,0.041254594389164
343,RAIL73,Cambuslang - Newton (S Lanarks),2559.402030180000111,0.000000000000000,0.000000000000000,0.000000000000000,0.040309671480789,0.040309671480789
